prompt_id,model_name,control,mode,eci_raw,eci_residualized,early_eci_raw,effective_ranks,participation_ratios,variances,window_starts,window_ends
qa124,microsoft/phi-2,none,natural_long,0.0035331270911476836,0.0035331270911476836,0.01353199481964111,"[98.32691192626953, 100.67316436767578, 101.8080062866211, 100.83545684814453, 100.34066772460938, 101.61478424072266, 103.99069213867188, 101.98861694335938, 102.85784912109375, 104.2215805053711, 98.64164733886719]","[69.16087341308594, 74.51373291015625, 76.44947814941406, 75.39643096923828, 75.57260131835938, 77.42694091796875, 80.27374267578125, 76.47032928466797, 77.6797866821289, 80.19419860839844, 74.98523712158203]","[1.2197265625, 1.318359375, 1.32421875, 1.330078125, 1.4072265625, 1.3935546875, 1.35546875, 1.33984375, 1.37109375, 1.3798828125, 1.3935546875]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa125,microsoft/phi-2,none,natural_long,0.038725018501281724,0.038725018501281724,0.038725018501281724,"[93.7184066772461, 96.19680786132812]","[63.366146087646484, 66.2525863647461]","[1.2294921875, 1.1953125]","[0, 64]","[128, 192]"
qa126,microsoft/phi-2,none,natural_long,0.00660960674285889,0.00660960674285889,0.012661993503570555,"[97.096923828125, 102.43462371826172, 101.44470977783203, 100.12812042236328, 103.14080047607422, 102.44068145751953, 101.30709075927734, 103.71199035644531, 104.46851348876953, 103.94696807861328, 102.31228637695312]","[69.73839569091797, 79.21328735351562, 76.88538360595703, 74.47452545166016, 78.01390075683594, 76.78070068359375, 76.32897186279297, 80.2662582397461, 82.39044952392578, 81.26713562011719, 79.04725646972656]","[1.26953125, 1.3837890625, 1.3779296875, 1.302734375, 1.328125, 1.3583984375, 1.4013671875, 1.3994140625, 1.3818359375, 1.404296875, 1.4384765625]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa127,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa128,microsoft/phi-2,none,natural_long,-0.001736799875895183,-0.001736799875895183,-0.004088973999023438,"[102.51119232177734, 105.39627075195312, 103.67036437988281, 102.21417999267578, 101.4544448852539, 102.91677856445312, 103.42979431152344, 103.7649154663086, 102.01201629638672]","[77.37716674804688, 82.84941101074219, 80.91621398925781, 78.56798553466797, 75.99053955078125, 78.93931579589844, 79.30133056640625, 80.04220581054688, 78.01639556884766]","[1.3544921875, 1.4384765625, 1.4169921875, 1.3818359375, 1.3369140625, 1.369140625, 1.3486328125, 1.3828125, 1.3486328125]","[0, 64, 128, 192, 256, 320, 384, 448, 512]","[128, 192, 256, 320, 384, 448, 512, 576, 640]"
qa129,microsoft/phi-2,none,natural_long,-0.04074028242718092,-0.04074028242718092,-0.06371999979019165,"[87.74232482910156, 82.27227783203125, 79.88198852539062, 74.94548797607422, 69.72895050048828, 68.2374038696289, 64.90845489501953, 62.914527893066406, 61.83719253540039, 62.568050384521484, 62.74674987792969]","[60.28203201293945, 55.4306526184082, 52.50266647338867, 48.385982513427734, 43.62385177612305, 42.52334213256836, 40.482601165771484, 39.42977523803711, 38.82490921020508, 39.18633270263672, 39.764373779296875]","[1.259765625, 1.2763671875, 1.2294921875, 1.1435546875, 1.0751953125, 1.05078125, 1.0341796875, 1.037109375, 1.052734375, 1.0478515625, 1.0458984375]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa130,microsoft/phi-2,none,natural_long,0.0038373307748274382,0.0038373307748274382,0.004804229736328126,"[101.4673080444336, 103.35210418701172, 102.66484069824219, 102.72129821777344, 104.1268539428711, 104.322509765625, 102.54546356201172, 104.64435577392578, 105.14784240722656, 103.43414306640625, 104.86189270019531]","[75.28958129882812, 78.90177917480469, 79.08627319335938, 79.46952819824219, 80.69518280029297, 80.05406188964844, 78.05164337158203, 81.12417602539062, 82.7440185546875, 80.11508178710938, 81.99144744873047]","[1.2939453125, 1.37890625, 1.3916015625, 1.3642578125, 1.361328125, 1.349609375, 1.3720703125, 1.3662109375, 1.3701171875, 1.35546875, 1.345703125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa131,microsoft/phi-2,none,natural_long,0.004147649895061147,0.004147649895061147,0.016531288623809814,"[97.28124237060547, 96.31981658935547, 98.95116424560547, 99.93080139160156, 97.2069091796875, 97.5576400756836, 100.08334350585938, 100.05126953125, 99.49602508544922, 99.83377838134766, 99.35957336425781]","[68.04138946533203, 68.22521209716797, 71.96875, 73.5284194946289, 70.4489517211914, 71.20330047607422, 73.76644134521484, 73.286865234375, 72.26256561279297, 71.97329711914062, 72.48918914794922]","[1.1953125, 1.205078125, 1.23828125, 1.25, 1.25, 1.2666015625, 1.2880859375, 1.2666015625, 1.2333984375, 1.220703125, 1.224609375]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa132,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[97.04620361328125],[69.31212615966797],[1.27734375],[0],[128]
qa133,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa134,microsoft/phi-2,none,natural_long,-0.02436184883117675,-0.02436184883117675,-0.02436184883117675,"[94.48849487304688, 92.92933654785156]","[64.57906341552734, 63.274532318115234]","[1.2041015625, 1.2236328125]","[0, 64]","[128, 192]"
qa135,microsoft/phi-2,none,natural_long,0.04837107658386229,0.04837107658386229,0.04837107658386229,"[94.62195587158203, 97.71770477294922]","[64.93499755859375, 71.06458282470703]","[1.2021484375, 1.3056640625]","[0, 64]","[128, 192]"
qa136,microsoft/phi-2,none,natural_long,-0.013352216993059432,-0.013352216993059432,0.0050883531570434576,"[98.7942123413086, 100.7257080078125, 100.11298370361328, 100.08396911621094, 95.18009185791016, 96.14559173583984]","[67.16413879394531, 70.13209533691406, 70.55398559570312, 72.58819580078125, 65.16908264160156, 66.02437591552734]","[1.166015625, 1.1962890625, 1.25, 1.3037109375, 1.1884765625, 1.1826171875]","[0, 64, 128, 192, 256, 320]","[128, 192, 256, 320, 384, 448]"
